Pattern,Length,GC_Content,Repetitive,KMP,KMP_StdDev,Boyer-Moore,Boyer-Moore_StdDev,Bit-Parallel,Bit-Parallel_StdDev,Hybrid (Python),Hybrid (Python)_StdDev,Hybrid (C++),Hybrid (C++)_StdDev
Len20_GC0.3_NonRep,20,0.3,False,5606.8999983835965,962.522069512673,1151.6000013216399,100.73510864042679,1291.799999307841,492.4385433601001,1394.7000043117441,221.80220764258098,1662.800001213327,220.7794861206957
Len20_GC0.3_Rep,20,0.0,True,4574.500002490822,402.61432417721767,1469.0000025439076,235.31254534026687,1337.8999938140623,145.00860432269403,4647.699999623001,433.74556956032626,1288.5999967693351,159.41288293158527
Len20_GC0.5_NonRep,20,0.5,False,5302.500001562294,942.5322336748536,1177.90000513196,137.2071519667439,1186.1999955726787,154.97094627080492,1247.6999982027337,90.28909685034989,1148.6000003060326,62.53026881746059
Len20_GC0.5_Rep,20,0.0,True,4432.399997313041,651.7268593383914,1327.9999984661117,129.26931370913115,1151.3999997987412,79.0226883110911,4217.5999988103285,168.54051339820327,1629.6999965561554,181.2985515689238
Len20_GC0.7_NonRep,20,0.7,False,3953.1000002170913,229.6852957612368,1191.1999972653575,149.7897844613539,1246.2000013329089,210.0775366034928,1197.9000046267174,96.03928978699903,1381.299996864982,138.29308287441526
Len20_GC0.7_Rep,20,0.0,True,4459.000003407709,116.26705473818359,1648.2999999425374,401.94435504985637,1408.5000002523884,223.5987070551873,4768.800004967488,467.5961176461768,1526.0000000125729,367.27219802999696
Len50_GC0.3_NonRep,50,0.3,False,4854.500002693385,639.6934469905899,263.2000032463111,12.162572256723992,628.3999973675236,10.24121348424305,658.6999952560291,45.85269829267893,596.500001847744,23.057498271416474
Len50_GC0.3_Rep,50,0.0,True,3920.6000001286156,53.59287376837541,398.0999972554855,24.459046137142806,613.3999995654449,41.37158484311402,3564.5000025397167,183.95330048423526,587.3999980394728,18.79002111445293
Len50_GC0.5_NonRep,50,0.5,False,3515.199998219032,84.53317923274258,258.00000003073364,14.155363250379269,908.900001377333,282.1373752387658,982.30000003241,219.14581424512298,987.4999959720299,146.25956174873647
Len50_GC0.5_Rep,50,0.0,True,3656.699998828117,292.1018142564011,364.5999968284741,23.36240721327452,664.3999950028956,497.49292028709687,4023.000001325272,472.29242097623035,841.2000024691224,285.8562370334076
Len50_GC0.7_NonRep,50,0.7,False,4148.400003032293,999.3227951802944,263.4000047692098,17.98836104158337,616.4000005810522,712.2491113824391,585.3999973624013,31.866749300466296,570.3999995603226,5.4662222725853855
Len50_GC0.7_Rep,50,0.0,True,4515.499997069128,576.4792746287616,408.7999986950308,220.2919535690833,656.2999988091178,331.82347708546337,4660.900005546864,299.06139220208246,668.6999986413866,108.34671120449102
Len100_GC0.3_NonRep,100,0.3,False,3629.800005001016,232.8269022060947,192.70000484539196,7.003438158198074,N/A,N/A,199.9000014620833,1.3666592374888258,191.30000146105886,3.0172951279280156
Len100_GC0.3_Rep,100,0.0,True,3878.3999989391305,337.5844784172439,229.69999554334208,6.125090447271948,N/A,N/A,3571.1000018636696,38.91760433456805,230.70000315783545,9.241477102921683
Len100_GC0.5_NonRep,100,0.5,False,3249.49999776436,43.98005212168886,178.50000585895032,8.43120914954213,N/A,N/A,184.89999638404697,5.920595046111848,177.59999900590628,6.009040638252908
Len100_GC0.5_Rep,100,0.0,True,3633.200001786463,1587.5418160082745,234.00000645779073,8.576118530662269,N/A,N/A,3558.700002031401,82.25996665718661,231.4000012120232,8.779149368340448
Len100_GC0.7_NonRep,100,0.7,False,3727.5000067893416,783.2888592284868,173.20000188192353,5.631507807794488,N/A,N/A,4255.100000591483,995.0398376764582,176.10000213608146,7.255117430751894
Len100_GC0.7_Rep,100,0.0,True,3870.3000027453527,688.970303048094,234.30000146618113,8.454196496310516,N/A,N/A,3591.300002881326,44.33553347792844,226.70000180369243,9.171139241108346
Len200_GC0.3_NonRep,200,0.3,False,3652.5000032270327,53.06580002321545,134.49999823933467,6.746397277675735,N/A,N/A,152.900000102818,8.003036762060654,132.10000179242343,4.0900084354867525
